NCT ID	Raw CT.gov Conditions	First PMID	All MeSH Terms
NCT05117073	Spontanous Fungal Peritonitis	23996048	Adult | Aged | Bacteria / isolation & purification | Candida / classification | Coinfection / epidemiology | Cross Infection / epidemiology | Cryptococcus neoformans / isolation & purification | Female | Humans | Liver Cirrhosis / complications | Male | Middle Aged | Mycoses / epidemiology | Peritonitis / epidemiology | Prevalence | Republic of Korea / epidemiology | Survival Analysis | Tertiary Care Centers
NCT00223808	Cerebrovascular Disorders | Hemiplegia	21674393	Aged | Hospitals, Veterans | Humans | Middle Aged | Paresis / etiology | Psychomotor Performance | Recovery of Function | Robotics | Stroke Rehabilitation | Upper Extremity
NCT05559983	Cholera Vaccination Reaction	39217775	Shigella flexneri / immunology | Animals | Shigella Vaccines / immunology | Dysentery, Bacillary / prevention & control | Mice | Antibodies, Bacterial / blood | Vaccines, Conjugate / immunology | Humans | Immunoglobulin G / blood | O Antigens / immunology | Female | Mice, Inbred BALB C | Immunoglobulin M / immunology | Serogroup | Lipopolysaccharides / immunology
NCT03180541	Personality Disorder, Borderline	32410670	Borderline Personality Disorder / therapy | Dialectical Behavior Therapy | Humans | Mental Health Services | Program Evaluation
NCT03373123	Esophageal Varices in Cirrhosis of the Liver	26579733	Algorithms | Biopsy | Data Mining | Decision Making | Diagnosis, Computer-Assisted / methods | Diagnostic Imaging | Genomics | Humans | Image Interpretation, Computer-Assisted / methods | Medical Informatics | Neoplasms / diagnosis | Prognosis | Radiology Information Systems
NCT00340990	Mycobacterium Tuberculosis	9359738	Bacterial Vaccines / immunology | CD4 Lymphocyte Count | Cytokines / physiology | HIV Infections / immunology | Humans | Immunotherapy | Tuberculosis / immunology
NCT02066753	Hypothermia | Cardiac Arrest	33608045	Aged | Echocardiography / methods | Female | Forecasting | Humans | Hypothermia, Induced / methods | Male | Middle Aged | Neurologic Examination | Out-of-Hospital Cardiac Arrest / therapy | Resuscitation | Survivors | Thorax / diagnostic imaging | Ventricular Function, Left | Ventricular Function, Right
NCT02467478	Impaired Renal Function | Type 2 Diabetes	32493344	Adult | Aged | Antigens, CD34 / blood | Biomarkers / blood | Cells, Cultured | Diabetes Mellitus, Type 2 / blood | Diabetic Nephropathies / blood | Dipeptidyl-Peptidase IV Inhibitors / adverse effects | District of Columbia | Double-Blind Method | Drug Therapy, Combination | Endothelial Progenitor Cells / drug effects | Female | Humans | Hypoglycemic Agents / adverse effects | Insulin / adverse effects | Linagliptin / adverse effects | Male | Metformin / adverse effects | Middle Aged | Pilot Projects | Receptors, CXCR4 / blood | Renal Insufficiency, Chronic / blood | Time Factors | Treatment Outcome
NCT01094444	Folliculitis	28197850	Adult | Aged | Cetuximab / adverse effects | Exanthema / chemically induced | Female | Humans | Male | Middle Aged | Vitamin K 3 / administration & dosage
NCT05911542	Pain Management	28691744	Adolescent | Adult | Anesthesia, Dental / methods | Anesthetics / therapeutic use | Attitude of Health Personnel | Child | Child, Preschool | Dental Care for Children / methods | Dental Restoration, Permanent / methods | Dentists / psychology | Female | Humans | Male | Middle Aged | Sweden | Tooth Extraction / methods
